Index,Country,Economy (2015),Economy (2016),Economy (2017),Economy (2018),Economy (2019),Economy (2022)
34,Spain,1.23011,1.34253,1.38439786434174,1.251,1.286,1.808
35,Malta,1.2074,1.30782,1.34327983856201,1.27,1.3,1.838
37,El Salvador,0.76454,0.8737,0.9097844958305359,0.8059999999999999,0.794,1.265
39,Uzbekistan,0.63244,0.7359100000000001,0.786441087722778,0.7190000000000001,0.745,1.219
40,Slovakia,1.1689100000000001,1.27973,1.32539355754852,1.21,1.246,1.736
41,Japan,1.27074,1.3800700000000001,1.41691517829895,1.294,1.327,1.835
42,South Korea,1.24461,1.35948,1.40167844295502,1.266,1.301,1.851
43,Ecuador,0.8640200000000001,0.97306,1.00082039833069,0.889,0.912,1.3519999999999999
44,Bahrain,1.32376,1.44024,1.4884122610092199,1.338,1.3619999999999999,1.854
45,Italy,1.25114,1.35495,1.3950666189193701,1.264,1.294,1.834
46,Bolivia,0.68133,0.79422,0.833756566047668,0.7509999999999999,0.7759999999999999,1.256
47,Moldova,0.59448,0.69177,0.7288706302642819,0.657,0.685,1.4169999999999998
48,Paraguay,0.75985,0.8937299999999999,0.932537317276001,0.835,0.855,1.409
49,Kazakhstan,1.1225399999999999,1.22943,1.2845562696456898,1.143,1.173,1.6680000000000001
50,Slovenia,1.18498,1.2994700000000001,1.3412059545516999,1.219,1.258,1.81
51,Lithuania,1.14723,1.2692,1.3145823478698702,1.197,1.238,1.804
52,Nicaragua,0.59325,0.69384,0.737299203872681,0.6679999999999999,0.6940000000000001,1.105
53,Peru,0.9001899999999999,0.9960200000000001,1.0352252721786501,0.934,0.96,1.3969999999999998
55,Poland,1.12555,1.24585,1.29178786277771,1.176,1.206,1.758
56,Malaysia,1.12486,1.25142,1.29121541976929,1.161,1.2209999999999999,1.689
57,Croatia,1.08254,1.18649,1.22255623340607,1.115,1.155,1.705
59,Russia,1.13764,1.2322799999999998,1.28177809715271,1.151,1.183,1.685
60,Jamaica,0.81038,0.89333,0.925579309463501,0.8190000000000001,0.831,1.296
61,Cyprus,1.20813,1.31857,1.3559380769729599,1.229,1.263,1.815
62,Algeria,0.93929,1.05266,1.09186446666718,0.9790000000000001,1.002,1.3630000000000002
63,Kosovo,0.80148,0.90145,0.951484382152557,0.855,0.882,1.3619999999999999
65,Mauritius,1.0076100000000001,1.14372,1.1893955469131499,1.09,1.12,1.591
66,Estonia,1.15174,1.2796399999999999,1.3208793401718102,1.2,1.237,1.7930000000000001
67,Indonesia,0.8282700000000001,0.95104,0.995538592338562,0.899,0.9309999999999999,1.382
68,Vietnam,0.63216,0.74037,0.7885475754737851,0.715,0.741,1.252
69,Turkey,1.06098,1.1649200000000002,1.1982743740081798,1.148,1.183,1.7069999999999999
70,Kyrgyzstan,0.47428000000000003,0.5604399999999999,0.5962200760841371,0.53,0.551,1.069
71,Nigeria,0.65435,0.75216,0.783756256103516,0.6890000000000001,0.696,1.079
74,Pakistan,0.59543,0.68816,0.7268835306167599,0.652,0.677,1.0490000000000002
75,Jordan,0.9019799999999999,0.9967299999999999,0.9910123944282528,0.8220000000000001,0.8370000000000001,1.324
76,Montenegro,0.9743799999999999,1.07838,1.12112903594971,1.0170000000000001,1.051,1.5730000000000002
77,China,0.89012,1.0278,1.08116579055786,0.9890000000000001,1.0290000000000001,1.508
78,Zambia,0.47038,0.61202,0.6364067792892459,0.562,0.578,0.93
79,Romania,1.04345,1.1697,1.21768391132355,1.1159999999999999,1.162,1.719
80,Serbia,0.92053,1.03437,1.06931757926941,0.975,1.004,1.55
81,Portugal,1.15991,1.27607,1.3151752948761002,1.188,1.2209999999999999,1.76
82,Latvia,1.11312,1.2178799999999999,1.26074862480164,1.148,1.187,1.732
83,Philippines,0.70532,0.81217,0.85769921541214,0.775,0.807,1.268
84,Morocco,0.7347899999999999,0.8405799999999999,0.8781145811080929,0.779,0.8009999999999999,1.208
85,Albania,0.8786700000000001,0.9553,0.996192753314972,0.9159999999999999,0.9470000000000001,1.439
86,Bosnia and Herzegovina,0.8322299999999999,0.9338299999999999,0.982409417629242,0.915,0.945,1.4680000000000002
87,Dominican Republic,0.8953700000000001,1.02787,1.07937383651733,0.982,1.015,1.538
88,Mongolia,0.82819,0.9885299999999999,1.0272358655929599,0.914,0.948,1.393
89,Greece,1.15406,1.24886,1.28948748111725,1.1540000000000001,1.181,1.703
90,Lebanon,1.0256399999999999,1.12268,1.07498753070831,0.965,0.987,1.392
91,Hungary,1.12094,1.24142,1.2860119342803997,1.171,1.2009999999999998,1.7480000000000002
92,Honduras,0.59532,0.69429,0.730573117733002,0.62,0.642,1.111
93,Tajikistan,0.39047,0.48835,0.524713635444641,0.474,0.493,0.966
94,Tunisia,0.88113,0.97724,1.00726580619812,0.9,0.9209999999999999,1.35
96,Bangladesh,0.39753,0.54177,0.586682975292206,0.532,0.562,1.06
97,Iran,1.0088,1.11758,1.15687310695648,1.0590000000000002,1.1,1.41
98,Ukraine,0.79907,0.87287,0.89465194940567,0.7929999999999999,0.82,1.411
99,Iraq,0.98549,1.07474,1.1027104854583702,1.01,1.043,1.2890000000000001
100,South Africa,0.9204899999999999,1.02416,1.05469870567322,0.94,0.96,1.425
101,Ghana,0.5455800000000001,0.63107,0.667224824428558,0.5920000000000001,0.611,1.112
102,Zimbabwe,0.271,0.35041,0.37584653496742204,0.35700000000000004,0.366,0.9470000000000001
104,India,0.64499,0.74036,0.7922212481498722,0.721,0.755,1.167
107,Nepal,0.35996999999999996,0.44626000000000005,0.479820191860199,0.425,0.446,0.9840000000000001
108,Ethiopia,0.19072999999999998,0.29283000000000003,0.339233845472336,0.308,0.336,0.7879999999999999
109,Sierra Leone,0.33024000000000003,0.36485,0.36842092871666,0.256,0.268,0.6859999999999999
111,Kenya,0.36471,0.52267,0.560479462146759,0.493,0.512,1.032
112,Armenia,0.7682100000000001,0.8608600000000001,0.900596737861633,0.816,0.85,1.4340000000000002
114,Myanmar,0.27108000000000004,0.34112,0.36711055040359497,0.682,0.71,1.038
115,Georgia,0.7419,0.8379200000000001,0.950612664222717,0.853,0.8859999999999999,1.4669999999999999
116,Malawi,0.016040000000000002,0.08709,0.233442038297653,0.18600000000000003,0.191,0.648
117,Sri Lanka,0.83524,0.9731799999999999,1.00985014438629,0.9179999999999999,0.9490000000000001,1.415
118,Cameroon,0.4225,0.5249699999999999,0.564305365085602,0.535,0.5489999999999999,0.968
119,Bulgaria,1.01216,1.11306,1.1614590883255,1.054,1.092,1.625
120,Egypt,0.8818,0.95395,0.989701807498932,0.885,0.9129999999999999,1.3880000000000001
122,Mali,0.26074,0.31292,0.476180493831635,0.37,0.385,0.792
124,Uganda,0.21101999999999999,0.34719,0.381430715322495,0.322,0.332,0.777
125,Senegal,0.36498,0.44314,0.479309022426605,0.429,0.45,0.9329999999999999
126,Gabon,1.06024,1.15851,1.1982102394104,1.036,1.057,1.459
128,Cambodia,0.46038,0.55604,0.6017650961875921,0.5489999999999999,0.574,1.0190000000000001
129,Tanzania,0.2852,0.47155,0.511135876178741,0.455,0.47600000000000003,0.848
132,Guinea,0.17417,0.22415,0.24454993009567302,0.344,0.38,0.848
133,Ivory Coast,0.46534,0.55507,0.6030489206314089,0.541,0.569,1.094
134,Burkina Faso,0.25811999999999996,0.31995,0.35022771358490007,0.314,0.331,0.779
135,Afghanistan,0.31982,0.38227,0.401477217674255,0.332,0.35,0.758
137,Benin,0.28665,0.39499,0.43108540773391707,0.37799999999999995,0.39299999999999996,0.932
140,Togo,0.20868,0.28123000000000004,0.30544471740722695,0.259,0.275,0.7709999999999999
