Country,Freedom (2022 1/2) Proj,Freedom (2023) Proj,Freedom (2024) Proj,Freedom (2025) Proj,Freedom (2026) Proj,Freedom (2027) Proj
Albania,0.39749772696304325,0.40553127235565184,0.4229055268267822,0.4311869052290954,0.43362428627491456,0.4181491435298974
Bosnia and Herzegovina,0.22399263538074501,0.25030116245689404,0.28133939494827287,0.2967266385571824,0.3000719662686189,0.2704863595223427
Dominican Republic,0.567179966747284,0.5652719600967407,0.5738083521160889,0.5780520557920228,0.5780624669504272,0.5724749603405127
Mongolia,0.3966247937641144,0.3886977525169374,0.39449330302032476,0.39456316986027534,0.39447580383233044,0.39377096459879646
Greece,0.1221882501883507,0.13122790022602082,0.14582948027122497,0.1558491261371193,0.16081895136454316,0.1431827416374518
Lebanon,0.29919119700241076,0.291197436402893,0.2969809236834715,0.298673911417755,0.25780869370130605,0.28877043244156725
Hungary,0.2877367038621902,0.28106004463462825,0.29773205356155386,0.3221057604116745,0.3347269124940094,0.30467229499281123
Honduras,0.41162197204208384,0.4136503664505006,0.44287043974060075,0.4618285556466371,0.46239426677596446,0.4384731201311573
Tajikistan,0.4483613413791657,0.4436016096549988,0.4455059315859985,0.4402937765240327,0.46995253182883917,0.449543038194607
Tunisia,0.27497813791465764,0.27743776549758914,0.28581931859710696,0.2850470444018708,0.2878564532822449,0.2822277439386939
Bangladesh,0.4972673318824768,0.5150807982589722,0.5385409579107666,0.5505778176104431,0.5446933811325317,0.5292320573590381
Iran,0.30301852162265785,0.30355622594718934,0.31917947113662726,0.3331508437412949,0.30798101248955384,0.3133772149874646
Ukraine,0.22775895514631284,0.2230647461755754,0.24195969541069046,0.2657566793465157,0.28630801521581883,0.24896961825898262
Iraq,0.23382310653877264,0.28058772784652714,0.2869932734158326,0.28668082156022645,0.28321698587227184,0.2742603830467261
South Africa,0.438829347114563,0.4601812165374756,0.46725145984497074,0.46485240469940187,0.45462288563928227,0.4571474627671387
Ghana,0.4510352587032318,0.4565583104438781,0.4659239725326538,0.4745035083359528,0.46960421000314334,0.463525052003772
Zimbabwe,0.3168568414020538,0.3285062096824646,0.3433494516189575,0.34474250054069516,0.33249100064883425,0.33318920077860104
India,0.4913394009990693,0.5100352811988831,0.5314723374386597,0.5437694039273224,0.5447232847127869,0.5242679416553443
Nepal,0.4476491896514892,0.46061502758178713,0.4787140330981445,0.4863956500662841,0.478474780079541,0.47036973609544913
Ethiopia,0.42687454848861695,0.42534945818634035,0.43701334982360845,0.44264747129971316,0.44077696555965573,0.4345323586715869
Sierra Leone,0.35518953819274895,0.3445474458312988,0.35208693499755855,0.35876478380432125,0.35951774056518554,0.35402128867822263
Kenya,0.44493475321006787,0.4494917038520814,0.4582380446224977,0.4593329003369294,0.45039948040431527,0.45247937648517833
Armenia,0.27102865347194677,0.28554038416633615,0.3145744609996034,0.33782869972757723,0.3533944396730927,0.31247332760771124
Myanmar,0.4949164069824218,0.5058656883789061,0.5216548260546874,0.5230873842832031,0.5117048611398436,0.5114458333678125
Georgia,0.3845580071220398,0.38031560854644775,0.3914567302557373,0.40786606918484497,0.41443928302181393,0.3957271396261768
Malawi,0.46395093075561517,0.47063311690673826,0.4818997402880859,0.4848967575900878,0.4756761091081055,0.47541133092972654
Sri Lanka,0.5441286509857177,0.5455023811828614,0.5529688574194335,0.5513199779176026,0.544583973501123,0.5477007682013476
Cameroon,0.44036774972915643,0.42982329967498767,0.4303159596099852,0.43030140180282583,0.4255616821633911,0.4312740185960693
Bulgaria,0.3458583435173034,0.353856012220764,0.38218921466491684,0.40078071408059684,0.40913685689671625,0.3783642282760594
Egypt,0.2848920309257508,0.30729443711090093,0.3310593245330811,0.34084915851394654,0.3466189902167359,0.3221427882600831
Mali,0.3375247486610412,0.3273156983932495,0.33769083807189937,0.343906257025238,0.33928750843028566,0.33714501011634274
Uganda,0.4377971910572052,0.4339026292686463,0.4333771551223755,0.43141539508964544,0.42769847410757456,0.4328381689290894
Senegal,0.39124045334434504,0.395944544013214,0.4130214528158568,0.42004129003468316,0.4228495480416198,0.40861945764994384
Gabon,0.3222897154083252,0.32291965848999027,0.33130759018798833,0.33510339281726076,0.3309240713807129,0.3285088856568555
Cambodia,0.6640711646995545,0.6643933976394653,0.6795680771673583,0.6888065279012756,0.6873678334815307,0.6768414001778369
Tanzania,0.41907955553627013,0.43713946664352427,0.461047359972229,0.4752532764304046,0.47410393171648557,0.45332471805978275
Guinea,0.3526735025939942,0.34775820311279304,0.35540384373535167,0.3567671098884278,0.34932053186611334,0.352384638239336
Ivory Coast,0.44819923854637145,0.4441070862556457,0.4516025035067749,0.4523817656617585,0.44945811879411013,0.4491497425529321
Burkina Faso,0.3493995702037812,0.3402934842445374,0.3416121810934449,0.34506104710835267,0.35167325653002324,0.3456079078360279
Afghanistan,0.117923904097557,0.09468068491706841,0.08075682190048208,0.0756722821830215,0.07380673861962579,0.08856808634355094
Benin,0.4453865551891326,0.4375638662269591,0.4455826394723509,0.4495066121776885,0.4514079346132262,0.4458895215358714
Togo,0.36354722772789005,0.36335067327346804,0.36666480792816164,0.36391254178590393,0.3498950501430847,0.36147406017170164
