Country,Generosity (2022 1/2) Proj,Generosity (2023) Proj,Generosity (2024) Proj,Generosity (2025) Proj,Generosity (2026) Proj,Generosity (2027) Proj
Uruguay,0.1642113858146668,0.15057366297760016,0.14457639557312016,0.13847228887307741,0.1401667466476929,0.1476000959772315
Colombia,0.13505689459228518,0.1252662735107422,0.11906752821289066,0.1130781392631836,0.1158937671158203,0.12167252053898439
Thailand,0.4840766220588685,0.4656319464706421,0.44136633576477047,0.4152149808588562,0.42545797703062743,0.4463495724367529
Saudi Arabia,0.12304920277690878,0.12024704333229055,0.11338245199874868,0.1065357396215896,0.10824288754590754,0.11429146505508903
Spain,0.15841071432495119,0.1536388571899414,0.1490366286279297,0.14081724002856447,0.14058068803427737,0.1484968256411328
Malta,0.4409241150169372,0.4256049380203247,0.3982519256243896,0.3629561957323303,0.36034743487879634,0.3976169218545556
El Salvador,0.0855895970826149,0.0813235164991379,0.07983421979896546,0.08014946667614367,0.08317936001137238,0.08201523201364687
Uzbekistan,0.3197227294216156,0.33799327530593876,0.3369399303671265,0.32113118701893617,0.3197574244227234,0.3271089093072681
Slovakia,0.1359688961839676,0.12937667542076112,0.12757801050491335,0.1257847164219284,0.1273416597063141,0.1292099916475769
Japan,0.083172553630352,0.0783970643564224,0.07362847722770688,0.06423961904289625,0.06128754285147551,0.0721450514217706
South Korea,0.1732968734378814,0.17084224812545765,0.16736269775054918,0.15950036386277766,0.15640043663533318,0.16548052396239982
Ecuador,0.1120524930047988,0.11138099160575857,0.11350918992691028,0.10618853490749354,0.10462624188899225,0.10955149026679067
Bahrain,0.1919516973667144,0.19561803684005724,0.2004476442080687,0.20600347568296806,0.1986041708195617,0.19852500498347403
Italy,0.157971929635048,0.1439203155620576,0.1393363786744691,0.13264572477431494,0.1317748697291779,0.14112984367501352
Bolivia,0.18018014494705198,0.1751441739364624,0.1667770087237549,0.15502026552145384,0.15782431862574461,0.16698918235089355
Moldova,0.1782518252811432,0.17200019033737185,0.1664062284048462,0.15793164880467225,0.1553179785656067,0.16598157427872803
Paraguay,0.23050213153076182,0.2081225578369142,0.199155069404297,0.19415595175439457,0.20058714210527348,0.2065045705263282
Kazakhstan,0.15046888461208338,0.15690866153450006,0.1582683938414001,0.14952918799759674,0.14983502559711606,0.15300203071653926
Slovenia,0.2062618186540604,0.19685818238487246,0.184753818861847,0.17317476398015597,0.17580971677618717,0.1873716601314246
Lithuania,0.027164931335270398,0.02731591760232448,0.028729101122789376,0.03244199001207685,0.03373038801449222,0.029876465617390664
Nicaragua,0.25071084339714056,0.24522301207656874,0.2347216144918825,0.22133109399311834,0.223997312791742,0.23519677535009045
Peru,0.1207819429807662,0.11497433157691943,0.1089151978923033,0.1053342944899978,0.10800115338799735,0.1116013840655968
Poland,0.1404971933164596,0.1350786319797515,0.13320835837570183,0.12815683673438255,0.13218820408125911,0.1338258448975109
Malaysia,0.3372197859268188,0.3385137431121826,0.323268491734619,0.3046004041547241,0.3033204849856689,0.3213845819828027
Croatia,0.1431565952358246,0.1608999142829895,0.15621189713958744,0.13785368133168027,0.14142441759801636,0.14790930111761963
Russia,0.052722764481306084,0.0628693173775673,0.06997118085308077,0.07351265254239084,0.07521518305086898,0.0668582196610428
Jamaica,0.16891366746425618,0.16023640095710742,0.14779368114852895,0.1305887499139785,0.13750649989677421,0.14900779987612905
Cyprus,0.2363388602142334,0.22233063225708008,0.2109847587084961,0.1989308502359619,0.1983170202831543,0.21338042433978516
Algeria,0.07581932939958572,0.07533919527950286,0.07631903433540344,0.0776955118028984,0.08223461416347809,0.0774815369961737
Kosovo,0.2931902895011902,0.29520834740142826,0.29826601688171384,0.29393293075686644,0.29791951690823976,0.2957034202898877
Mauritius,0.29677675017356886,0.28064410020828257,0.26287092024993913,0.24325835412635813,0.24291002495162975,0.2652920299419557
Estonia,0.09578416224098205,0.09758099468917847,0.10025119362701415,0.10052327011143494,0.10342792413372193,0.09951350896046632
Indonesia,0.5288529175872803,0.5315535011047363,0.5248222013256834,0.50744572400354,0.512134868804248,0.5209618425650977
Vietnam,0.19486361026287083,0.20011633231544498,0.18998959877853397,0.18099390827136996,0.18179268992564396,0.18955122791077272
Turkey,0.08185860838413236,0.07372433006095887,0.07905519607315062,0.08552762690364837,0.08143315228437804,0.08031978274125365
Kyrgyzstan,0.320440074705124,0.32446808964614876,0.31249770757537854,0.28928117438533024,0.2909374092623963,0.3075248911148756
Nigeria,0.22229343929672246,0.2122861271560669,0.20830535258728028,0.20377698380801396,0.20433238056961672,0.21019885668354005
Pakistan,0.27220120383453367,0.2592994446014404,0.24878933352172847,0.2354579963915405,0.2393495956698486,0.25101951480381834
Jordan,0.12266409204483039,0.12509091045379647,0.12158509254455577,0.11146801900863652,0.10776162281036383,0.1177139473724366
Montenegro,0.15544420481872562,0.15425304578247073,0.15072165493896486,0.14128378110803225,0.14734053732963867,0.1498086447955664
China,0.05764936820018292,0.0528092418402195,0.05345309020826341,0.05838234004973316,0.06425880805967979,0.05731056967161576
Zambia,0.2096300289764404,0.2123740347717285,0.21911684172607418,0.21302418109484864,0.21142901731381833,0.213114820776582
Romania,0.10537798354530341,0.09895758025436409,0.0929710963052369,0.08486133202098087,0.08423359842517705,0.09328031811021247
Serbia,0.1945611767635346,0.19501141211624148,0.1925396945394898,0.18702245668385317,0.1976269480206238,0.19335233762474857
Portugal,0.08404054250240325,0.07341065100288391,0.0647107812034607,0.05863239494174958,0.05935887393009949,0.06803064871611939
Latvia,0.13535695721340177,0.12597634865608215,0.1162816183872986,0.1089229848513565,0.11230758182162781,0.11976909818595335
Philippines,0.1774326846408844,0.1629372215690613,0.15217666588287354,0.14390931441856383,0.1486911773022766,0.15702941276273194
Morocco,0.0380919910311699,0.03136638923740388,0.02953366708488465,0.02899840947069169,0.029598091364830027,0.03151770963779603
Albania,0.1598865888586044,0.16331990663032528,0.16230388795639034,0.154502076689064,0.1556024920268768,0.15912299043225214
Bosnia and Herzegovina,0.2671674990119934,0.2709849988143921,0.26540399857727054,0.2527112992807312,0.26005355913687744,0.2632642709642529
Dominican Republic,0.16413356994628897,0.1535922839355468,0.14173874072265616,0.13269291892089838,0.13523150270507805,0.14547780324609366
Mongolia,0.3032308460597992,0.29741701527175907,0.28782241832611083,0.27769405593153385,0.28263286711784064,0.2897594405414087
Greece,0.003,0.0036,0.004319999999999999,0.005183999999999999,0.0062208,0.00446496
Lebanon,0.2031841517391204,0.2001129820869445,0.19274957850433339,0.17840934246607967,0.1712912109592956,0.1891494531511547
Hungary,0.08888033248186113,0.08105639897823334,0.07746767877388001,0.0772808820467949,0.08053705845615387,0.08104447014738465
Honduras,0.2139717747297286,0.2107121296756743,0.2119745556108092,0.20713169200324244,0.20915803040389092,0.2105896364846691
Tajikistan,0.20874352871799468,0.2045442344615936,0.19345708135391226,0.1823489689067001,0.18141876268804014,0.19410251522564814
Tunisia,0.044472671439886105,0.04050520572786333,0.040734246873435985,0.038942424808237085,0.038730909769884504,0.0406770917238614
Bangladesh,0.17075907042789462,0.16246688451347352,0.15669626141616827,0.15358444327150728,0.15370133192580876,0.1594415983109705
Iran,0.335296582649231,0.3261838991790772,0.31434467901489266,0.29976503216864014,0.3033180386023682,0.31578164632284184
Ukraine,0.2002882926235198,0.20979595114822377,0.21102914137786852,0.1992226770299224,0.2016672124359069,0.2044006549230883
Iraq,0.173949452802658,0.1728953433631896,0.16829641203582751,0.16202824164033505,0.16483388996840204,0.16840066796208242
South Africa,0.1175304759817124,0.11709057117805485,0.11319668541366586,0.10796354651468662,0.10895625581762394,0.11294750698114872
Ghana,0.22836478875160218,0.22786374650192265,0.2310304958023072,0.22585180621116643,0.2286221674533997,0.22834660094407963
Zimbabwe,0.1604086987543106,0.15451643850517272,0.14841372620620727,0.14026777269313812,0.14192132723176573,0.1491055926781189
India,0.22331369789218897,0.21502643747062683,0.20797572496475217,0.2032631720655136,0.20951580647861628,0.21181896777433956
Nepal,0.3275312331790924,0.3284454798149109,0.31781457577789307,0.3025582577543792,0.3026699093052551,0.31580389116630614
Ethiopia,0.2552241480293274,0.25761897763519287,0.25009877316223145,0.23758837976535035,0.24110605571842045,0.24832726686210452
Sierra Leone,0.23737818028450017,0.2418778163414002,0.24245937960968028,0.23234307524711614,0.23121169029653937,0.23705402835584724
Kenya,0.3815120618724822,0.3827304742469787,0.3766205690963743,0.3629726210431671,0.3651671452518005,0.3738005743021605
Armenia,0.07419361836528779,0.07332234203834534,0.0724008104460144,0.07018335416992952,0.06882002500391542,0.07178403000469849
Myanmar,0.700733032196045,0.681703638635254,0.6541023663623047,0.6173078074387208,0.6211693689264649,0.6550032427117579
Georgia,0.04306776308751106,0.04058731570501327,0.03513277884601592,0.03135757152770805,0.030029085833249657,0.03603490299989959
Malawi,0.255626093952179,0.24049531274261482,0.2266583752911378,0.2145559563971863,0.2154671476766236,0.23056057721194828
Sri Lanka,0.36518471232604977,0.3565656547912598,0.3339227857495117,0.3025346305733642,0.3016415566880371,0.33196986802564454
Cameroon,0.20085569135761258,0.19979082962913514,0.19438899555496217,0.18600710330834197,0.18660852397001038,0.19353022876401244
Bulgaria,0.10946353887605657,0.1075142466512679,0.10343109598152149,0.1014817763017692,0.10897813156212303,0.10617375787454764
Egypt,0.10032028855705259,0.09780234626846311,0.09195081552215575,0.0846146900695343,0.08313762808344115,0.09156515370012938
Mali,0.1697948397865296,0.16615780774383554,0.15726136929260265,0.15204280336459358,0.15465136403751228,0.15998163684501474
Uganda,0.2736892113552094,0.2702950536262513,0.2701500643515016,0.25902686586659246,0.25903223903991096,0.2664386868478931
Senegal,0.1727857786340714,0.1656569343608857,0.16058232123306282,0.15600500684560398,0.15960600821472476,0.16292720985766973
Gabon,0.04768907566738128,0.04358289080085754,0.039811468961029044,0.039016687085853576,0.04042002450302429,0.042104029403629145
Cambodia,0.3229805936775208,0.3068587124130249,0.28755245489562997,0.26787835219723516,0.2702540226366822,0.2911048271640186
Tanzania,0.3061492723445892,0.29862512681350706,0.29540615217620847,0.283636110266861,0.28636333232023314,0.2940359987842798
Guinea,0.2499050184173584,0.24257202210083006,0.2312584265209961,0.2245470934078369,0.2324565120894043,0.23614781450728514
Ivory Coast,0.180253493982315,0.175974192778778,0.1704930313345336,0.16434414361912533,0.16801297234295037,0.17181556681154048
Burkina Faso,0.21457293691635143,0.21399352429962168,0.208086229159546,0.19953053807510385,0.2044366456901246,0.2081239748281495
Afghanistan,0.25393018651580823,0.23169622381896984,0.2154994685827638,0.19622517578350837,0.19727021094021008,0.2189242531282521
Benin,0.176469692234993,0.1752436306819916,0.16993235681838992,0.16232913594707493,0.1621949631364899,0.16923395576378786
Togo,0.1741752301416398,0.17564827616996775,0.17574393140396133,0.17151348754311377,0.1742161850517365,0.17425942206208384
